"Id","State","City","Sight_Date"
"800","MO","O'Fallon",20130704
"801","NE","North Platte",20130704
"802","NY","Buffalo",20130704
"803","RI","North Providence",20130704
"804","WA","Auburn",20130704
"805","WA","Everett",20130704
"806","SC","Myrtle Beach",20130703
"807","NJ","North Wildwood",20130701
"808","NY","Baldwinsville",20130629
"809","FL","Clearwater",20130627
"810","NH","Canterbury",20130620
"811","OH","Fairborn",20130614
"812","VA","Virginia Beach",20130608
"813","WA","Bellevue",20130604
"814","CA","Los Angeles",20130603
"815","KS","Wichita",20130602
"816","GA","Fayetteville",20130528
"817","AL","Wedowee",20130526
"818","FL","St. Petersburg",20130526
"819","TX","Lubbock",20130522
"820","OK","Moore",20130518
"821","FL","Captiva",20130515
"822","OR","Bandon",20130511
"823","UT","Riverton",20130503
"824","NJ","Carteret",20130430
"825","CA","Sunnyvale",20130429
"826","CT","New Britian",20130427
"827","WA","Lacey",20130426
"828","NC","Carolina Beach",20130424
"829","HI","Kekaha",20130421
"830","OH","Nelsonville",20130415
"831","CA","San Jose",20130401
"832","CA","Fair Oaks",20130331
"833","IL","Elgin",20130330
"834","MA","Dorchester",20130330
"835","IA","Marion",20130329
"836","NY","Yonkers",20130329
"837","VA","Chesapeake",20130329
"838","AK","Wasilla",20130316
"839","CA","Garden Grove",20130314
"840","AZ","Maricopa",20130311
"841","ID","Coeur d'Alene",20130309
"842","OR","Portland",20130309
"843","IL","Normal",20130305
"844","CO","Montrose",20130302
"845","IL","Edwardsville",20130302
"846","IL","Arlington Heights",20130215
"847","IL","Plainfield",20130206
"848","FL","Hobe Sound",20130130
"849","SC","Myrtle Beach",20130122
"850","VA","Falls Church",20130120
"851","GA","Kennesaw",20130112
"852","IA","Wheatland",20130109
"853","CA","Stockton",20130101
"854","FL","New Port Richey",20130101
"855","AZ","Bullhead City",20121231
"856","FL","Fort Myers",20121231
"857","ID","Boise",20121231
"858","OR","Bend",20121231
"859","FL","Fort Myers",20121228
"860","NY","Pine Bush",20121225
"861","VA","Burke",20121225
"862","FL","Tampa",20121224
"863","MD","Westminster",20121223
"864","AZ","Phoenix",20121222
